timestamp,id_maquina,temperatura,vibracion,corriente_electrica,rpm_cabezal,fallo,tipo_fallo
2025-03-20 06:53:04.326861,5,43.17,8.37,173.6,2187.0,true,corriente_electrica
2025-03-20 06:55:04.326861,5,44.51,8.77,,2220.0,false,
2025-03-20 06:57:04.326861,4,45.98,5.9,,961.0,false,
2025-03-20 06:59:04.326861,4,44.65,6.3,39.14,928.0,false,
2025-03-20 07:01:04.326861,4,43.32,6.0,40.32,961.0,false,
2025-03-20 07:03:04.326861,1,177.94,33.66,6.72,11656.0,true,temperatura
2025-03-20 07:05:04.326861,4,44.66,5.7,41.5,17911.0,true,rpm_cabezal
2025-03-20 07:07:04.326861,3,45.2,2.4,36.19,12843.0,true,rpm_cabezal
2025-03-20 07:09:04.326861,4,46.0,5.4,42.68,2799.0,false,
2025-03-20 07:11:04.326861,1,30.63,9.96,7.9,725.0,false,
2025-03-20 07:13:04.326861,2,43.06,1.5,9.6,13666.0,true,rpm_cabezal
2025-03-20 07:15:04.326861,3,237.19,2.8,35.02,833.0,true,temperatura
2025-03-20 07:17:04.326861,5,45.85,9.17,42.12,2187.0,false,
2025-03-20 07:19:04.326861,1,29.3,10.36,9.08,692.0,false,
2025-03-20 07:21:04.326861,4,47.34,5.1,41.51,2766.0,false,
2025-03-20 07:23:04.326861,3,58.06,3.2,36.2,800.0,false,
2025-03-20 07:25:04.326861,1,27.97,10.76,10.26,659.0,false,
2025-03-20 07:27:04.326861,5,233.16,8.87,40.95,2220.0,true,temperatura
2025-03-20 07:29:04.326861,4,48.68,4.8,40.34,2799.0,false,
2025-03-20 07:31:04.326861,5,74.38,8.57,39.78,2253.0,false,
2025-03-20 07:33:04.326861,3,59.4,3.6,174.22,767.0,true,corriente_electrica
2025-03-20 07:35:04.326861,4,47.35,5.2,41.52,2832.0,false,
2025-03-20 07:37:04.326861,5,73.05,8.97,117.01,17428.0,true,corriente_electrica
2025-03-20 07:39:04.326861,5,74.39,8.67,23.86,16922.0,true,rpm_cabezal
2025-03-20 07:41:04.326861,4,48.69,4.9,42.7,2865.0,false,
2025-03-20 07:43:04.326861,5,75.73,8.37,194.15,1849.0,true,corriente_electrica
2025-03-20 07:45:04.326861,5,74.4,8.77,12.52,1816.0,false,
2025-03-20 07:47:04.326861,4,47.36,5.3,43.88,2832.0,false,
2025-03-20 07:49:04.326861,2,41.73,46.48,10.78,934.0,true,vibracion
2025-03-20 07:51:04.326861,5,274.74,8.47,,1783.0,true,temperatura
2025-03-20 07:53:04.326861,4,48.7,5.0,45.06,2865.0,false,
2025-03-20 07:55:04.326861,2,43.07,0.93,9.61,901.0,false,
2025-03-20 07:57:04.326861,1,29.31,11.16,9.09,626.0,false,
2025-03-20 07:59:04.326861,4,50.04,49.97,43.89,2832.0,true,vibracion
2025-03-20 08:01:04.326861,2,41.74,1.33,8.44,934.0,false,
2025-03-20 08:03:04.326861,1,30.65,10.86,10.27,659.0,false,
2025-03-20 08:05:04.326861,2,40.41,36.54,9.62,967.0,true,vibracion
2025-03-20 08:07:04.326861,2,39.08,6.7,109.16,1000.0,true,corriente_electrica
2025-03-20 08:09:04.326861,5,68.81,8.87,3.46,1750.0,false,
2025-03-20 08:11:04.326861,3,60.74,4.0,18.7,800.0,false,
2025-03-20 08:13:04.326861,2,37.75,7.1,34.07,1033.0,false,
2025-03-20 08:15:04.326861,5,67.48,8.57,4.64,1717.0,false,
2025-03-20 08:17:04.326861,5,68.82,8.27,3.47,1684.0,false,
2025-03-20 08:19:04.326861,3,59.41,4.4,19.88,833.0,false,
2025-03-20 08:21:04.326861,4,51.38,40.42,42.72,2799.0,true,vibracion
2025-03-20 08:23:04.326861,2,39.09,6.8,35.25,18476.0,true,rpm_cabezal
2025-03-20 08:25:04.326861,2,37.76,7.2,34.08,1828.0,false,
2025-03-20 08:27:04.326861,1,29.32,11.26,9.1,692.0,false,
2025-03-20 08:29:04.326861,3,60.75,4.8,18.71,800.0,false,
2025-03-20 08:31:04.326861,4,52.72,2.8,41.55,2832.0,false,
2025-03-20 08:33:04.326861,5,67.49,8.67,,,false,
2025-03-20 08:35:04.326861,5,68.83,9.07,38.72,1286.0,false,
2025-03-20 08:37:04.326861,4,51.39,2.5,42.73,2865.0,false,
2025-03-20 08:39:04.326861,2,39.1,7.6,35.26,1795.0,false,
2025-03-20 08:41:04.326861,3,62.09,49.08,19.89,767.0,true,vibracion
2025-03-20 08:43:04.326861,2,40.44,8.0,36.44,1762.0,false,
2025-03-20 08:45:04.326861,4,52.73,2.9,41.56,2832.0,false,
2025-03-20 08:47:04.326861,1,30.66,10.96,7.93,18563.0,true,rpm_cabezal
2025-03-20 08:49:04.326861,2,39.11,7.7,35.27,1795.0,false,
2025-03-20 08:51:04.326861,3,63.43,6.82,21.07,734.0,false,
2025-03-20 08:53:04.326861,3,62.1,6.52,22.25,,false,
2025-03-20 08:55:04.326861,3,60.77,,23.43,1025.0,false,
2025-03-20 08:57:04.326861,3,59.44,0.91,22.26,992.0,false,
2025-03-20 08:59:04.326861,4,54.07,3.3,42.74,2865.0,false,
2025-03-20 09:01:04.326861,5,67.5,8.77,39.9,1253.0,false,
2025-03-20 09:03:04.326861,3,233.92,1.31,21.09,1025.0,true,temperatura
2025-03-20 09:05:04.326861,5,68.84,8.47,41.08,1286.0,false,
2025-03-20 09:07:04.326861,2,40.45,8.1,34.1,13713.0,true,rpm_cabezal
2025-03-20 09:09:04.326861,2,39.12,8.5,35.28,569.0,false,
2025-03-20 09:11:04.326861,4,52.74,3.0,41.57,2898.0,false,
2025-03-20 09:13:04.326861,1,32.0,11.36,6.76,2640.0,false,
2025-03-20 09:15:04.326861,5,67.51,8.17,42.26,1253.0,false,
2025-03-20 09:17:04.326861,2,37.79,8.2,34.11,602.0,false,
2025-03-20 09:19:04.326861,4,54.08,3.4,40.4,2865.0,false,
2025-03-20 09:21:04.326861,3,155.76,1.01,22.27,1058.0,true,temperatura
2025-03-20 09:23:04.326861,5,68.85,7.87,43.44,,false,
2025-03-20 09:25:04.326861,3,88.72,1.41,23.45,1025.0,false,
2025-03-20 09:27:04.326861,5,67.52,7.57,44.62,742.0,false,
2025-03-20 09:29:04.326861,4,55.42,3.1,39.23,2832.0,false,
2025-03-20 09:31:04.326861,3,245.95,1.11,24.63,992.0,true,temperatura
2025-03-20 09:33:04.326861,2,39.13,7.9,35.29,569.0,false,
2025-03-20 09:35:04.326861,2,40.47,49.98,36.47,536.0,true,vibracion
2025-03-20 09:37:04.326861,4,56.76,2.8,38.06,2865.0,false,
2025-03-20 09:39:04.326861,5,66.19,7.97,45.8,709.0,false,
2025-03-20 09:41:04.326861,4,58.1,2.5,39.24,2898.0,false,
2025-03-20 09:43:04.326861,4,59.44,2.2,38.07,2931.0,false,
2025-03-20 09:45:04.326861,3,84.69,0.81,23.46,959.0,false,
2025-03-20 09:47:04.326861,3,86.03,0.51,24.64,992.0,false,
2025-03-20 09:49:04.326861,5,64.86,7.67,,742.0,false,
2025-03-20 09:51:04.326861,2,39.14,0.15,37.65,569.0,false,
2025-03-20 09:53:04.326861,1,30.67,11.76,5.59,17209.0,true,rpm_cabezal
2025-03-20 09:55:04.326861,3,84.7,0.91,23.47,959.0,false,
2025-03-20 09:57:04.326861,3,83.37,0.61,24.65,992.0,false,
2025-03-20 09:59:04.326861,3,84.71,1.01,25.83,959.0,false,
2025-03-20 10:01:04.326861,2,40.48,3.4499999999999997,36.48,14500.0,true,rpm_cabezal
2025-03-20 10:03:04.326861,3,83.38,1.41,,15798.0,true,rpm_cabezal
2025-03-20 10:05:04.326861,5,63.53,7.37,27.01,709.0,false,
2025-03-20 10:07:04.326861,2,39.15,3.85,35.31,,false,
2025-03-20 10:09:04.326861,2,37.82,3.55,36.49,2377.0,false,
2025-03-20 10:11:04.326861,2,39.16,3.25,35.32,2410.0,false,
2025-03-20 10:13:04.326861,2,37.83,3.65,34.15,2443.0,false,
2025-03-20 10:15:04.326861,4,181.97,2.6,36.9,2964.0,true,temperatura
2025-03-20 10:17:04.326861,4,36.55,2.3,35.73,,false,
2025-03-20 10:19:04.326861,2,36.5,3.35,,2476.0,false,
2025-03-20 10:21:04.326861,4,35.22,2.7,36.91,11432.0,true,rpm_cabezal
2025-03-20 10:23:04.326861,5,62.2,37.63,28.19,676.0,true,vibracion
2025-03-20 10:25:04.326861,3,84.72,1.11,26.01,762.0,false,
2025-03-20 10:27:04.326861,3,182.9,0.81,27.19,729.0,true,temperatura
2025-03-20 10:29:04.326861,3,52.05,0.51,28.37,696.0,false,
2025-03-20 10:31:04.326861,5,63.54,7.36,29.37,643.0,false,
2025-03-20 10:33:04.326861,4,33.89,2.4,,12179.0,true,rpm_cabezal
2025-03-20 10:35:04.326861,2,37.84,3.05,13.55,2443.0,false,
2025-03-20 10:37:04.326861,2,39.18,3.45,12.38,2476.0,false,
2025-03-20 10:39:04.326861,1,32.01,12.16,4.42,2972.0,false,
2025-03-20 10:41:04.326861,5,62.21,7.06,28.2,610.0,false,
2025-03-20 10:43:04.326861,4,253.62,2.8,7.6,2679.0,true,temperatura
2025-03-20 10:45:04.326861,5,63.55,7.46,,643.0,false,
2025-03-20 10:47:04.326861,1,30.68,12.56,,3005.0,false,
2025-03-20 10:49:04.326861,1,32.02,,5.51,3038.0,false,
2025-03-20 10:51:04.326861,4,60.67,2.5,8.78,19682.0,true,rpm_cabezal
2025-03-20 10:53:04.326861,4,59.34,2.9,7.61,19437.0,true,rpm_cabezal
2025-03-20 10:55:04.326861,2,245.2,3.15,13.56,2443.0,true,temperatura
2025-03-20 10:57:04.326861,1,33.36,4.06,4.34,3071.0,false,
2025-03-20 10:59:04.326861,4,60.68,3.3,6.44,1541.0,false,
2025-03-20 11:01:04.326861,2,45.78,3.55,14.74,,false,
2025-03-20 11:03:04.326861,2,44.45,3.95,15.92,901.0,false,
2025-03-20 11:05:04.326861,5,64.89,7.86,12.17,676.0,false,
2025-03-20 11:07:04.326861,2,45.79,43.22,17.1,868.0,true,vibracion
2025-03-20 11:09:04.326861,2,44.46,5.52,15.93,19041.0,true,rpm_cabezal
2025-03-20 11:11:04.326861,3,53.39,,29.55,729.0,false,
2025-03-20 11:13:04.326861,4,62.02,44.66,5.27,1574.0,true,vibracion
